id,city,manufacturer,car_model,year,hand,engine_size,kilometers,price,updated_at,date_added,prices,dateCreated
u419gsir,רמלה,toyota,C-HR,2018,יד שניה,1798,"75,000","94,000 ₪",עודכן ב 25/09/2023,2023-02-01 15:10:57,"[{'price': 94000, 'date': '2023-09-12T05:42:16.790Z'}, {'price': 98000, 'date': '2023-09-10T16:58:29.547Z'}, {'price': 99990, 'date': '2023-08-15T17:36:13.178Z'}, {'price': 100500, 'date': '2023-08-04T14:02:43.035Z'}, {'price': 101000, 'date': '2023-06-20T06:29:04.192Z'}, {'price': 103000, 'date': '2023-06-07T11:35:57.393Z'}, {'price': 108000, 'date': '2023-05-31T12:56:35.004Z'}, {'price': 109000, 'date': '2023-05-23T06:41:47.346Z'}, {'price': 110000, 'date': '2023-05-10T10:03:55.057Z'}, {'price': 113000, 'date': '2023-05-06T13:57:35.422Z'}, {'price': 115000, 'date': '2023-05-01T09:30:49.249Z'}, {'price': None, 'date': '2023-04-19T15:16:04.473Z'}, {'price': 117000, 'date': '2023-04-09T10:21:07.776Z'}, {'price': None, 'date': '2023-04-06T19:55:23.850Z'}, {'price': 117000, 'date': '2023-03-26T14:05:20.234Z'}, {'price': None, 'date': '2023-03-19T16:07:11.709Z'}, {'price': 117000, 'date': '2023-03-16T10:04:47.193Z'}, {'price': 118000, 'date': '2023-02-14T09:52:01.094Z'}, {'price': 120000, 'date': '2023-02-07T09:19:19.676Z'}, {'price': 125000, 'date': '2023-02-01T13:18:59.168Z'}]",2023-02-01T13:18:59.168Z
bpuzh81b,שדרות,toyota,C-HR,2017,יד שניה,1798,"155,000","88,000 ₪",עודכן ב 25/09/2023,2023-09-08 15:35:26,"[{'price': 88000, 'date': '2023-09-15T03:25:33.421Z'}, {'price': 90000, 'date': '2023-09-08T12:37:29.234Z'}]",2023-09-08T12:37:29.234Z
i7h03p5k,ירושלים,toyota,C-HR,2017,יד ראשונה,1798,"35,000","96,000 ₪",עודכן ב 25/09/2023,2023-08-30 17:55:20,"[{'price': 96000, 'date': '2023-08-30T14:57:02.084Z'}]",2023-08-30T14:57:02.084Z
0i5q7est,חדרה,toyota,C-HR,2019,יד שניה,1798,"87,000","110,000 ₪",עודכן ב 25/09/2023,2023-09-18 09:41:12,"[{'price': 110000, 'date': '2023-09-18T06:42:23.067Z'}]",2023-09-18T06:42:23.067Z
fc3cugfd,רמת גן,toyota,C-HR,2020,יד שניה,1798,"34,000","150,000 ₪",עודכן ב 25/09/2023,2023-09-25 21:25:19,"[{'price': 150000, 'date': '2023-09-25T21:18:54.731Z'}]",2023-09-25T21:18:54.731Z
k6eiqo3w,ירושלים,toyota,C-HR,2018,יד ראשונה,1798,"42,300","128,000 ₪",עודכן ב 25/09/2023,2023-09-20 19:35:32,"[{'price': 128000, 'date': '2023-09-20T16:37:07.763Z'}]",2023-09-20T16:37:07.763Z
ed2q0coh,נשר,toyota,C-HR,2018,יד שניה,1798,"115,000","92,000 ₪",עודכן ב 25/09/2023,2023-03-10 16:46:55,"[{'price': 92000, 'date': '2023-09-25T18:26:10.848Z'}, {'price': 95000, 'date': '2023-08-16T14:41:15.589Z'}, {'price': 98000, 'date': '2023-06-11T14:37:01.819Z'}, {'price': 99000, 'date': '2023-06-02T10:46:18.614Z'}, {'price': 100000, 'date': '2023-04-19T04:32:08.815Z'}, {'price': 105000, 'date': '2023-04-02T19:06:37.288Z'}, {'price': 107000, 'date': '2023-03-24T12:12:32.611Z'}, {'price': 108000, 'date': '2023-03-23T20:11:47.193Z'}, {'price': 109000, 'date': '2023-03-16T14:20:30.391Z'}, {'price': 110000, 'date': '2023-03-10T14:56:24.801Z'}]",2023-03-10T14:56:24.801Z
yd3io9nd,בת ים,toyota,C-HR,2020,יד ראשונה,1798,"38,000","132,000 ₪",עודכן ב 25/09/2023,2023-09-18 21:33:41,"[{'price': 132000, 'date': '2023-09-18T18:34:32.893Z'}]",2023-09-18T18:34:32.893Z
i7il7nht,טבריה,toyota,C-HR,2017,יד ראשונה,1798,"107,000","99,500 ₪",עודכן ב 25/09/2023,2023-07-11 19:19:09,"[{'price': 99500, 'date': '2023-08-24T12:28:51.387Z'}, {'price': 105000, 'date': '2023-07-11T16:20:56.801Z'}]",2023-07-11T16:20:56.801Z
a91gdqsz,מגשימים,toyota,C-HR,2017,יד שניה,1798,"55,000","101,000 ₪",עודכן ב 25/09/2023,2023-08-04 07:56:25,"[{'price': 101000, 'date': '2023-09-24T04:37:55.647Z'}, {'price': 102900, 'date': '2023-08-24T06:13:09.713Z'}, {'price': 105000, 'date': '2023-08-04T04:57:18.567Z'}]",2023-08-04T04:57:18.567Z
2inm8fn9,באר יעקב,toyota,C-HR,2019,יד ראשונה,1798,"61,000","99,000 ₪",עודכן ב 25/09/2023,2023-08-05 22:26:36,"[{'price': 99000, 'date': '2023-09-15T04:25:33.654Z'}, {'price': 105000, 'date': '2023-09-04T11:48:35.762Z'}, {'price': 110000, 'date': '2023-08-05T19:28:23.715Z'}]",2023-08-05T19:28:23.715Z
zxmhn464,באר שבע,toyota,C-HR,2018,יד שלישית,1798,"163,000","110,000 ₪",עודכן ב 25/09/2023,2023-07-20 11:57:50,"[{'price': 110000, 'date': '2023-07-20T11:24:52.895Z'}]",2023-07-20T11:24:52.895Z
h2708v3d,ראש העין,toyota,C-HR,2018,יד שניה,1798,"53,000","95,000 ₪",עודכן ב 25/09/2023,2023-04-23 00:35:47,"[{'price': 95000, 'date': '2023-09-23T16:48:35.884Z'}, {'price': 102000, 'date': '2023-08-18T06:21:11.123Z'}, {'price': 104000, 'date': '2023-08-14T21:41:03.296Z'}, {'price': 106000, 'date': '2023-07-13T11:05:17.667Z'}, {'price': 105500, 'date': '2023-06-23T10:17:28.079Z'}, {'price': 106000, 'date': '2023-06-20T14:23:35.096Z'}, {'price': 108000, 'date': '2023-06-17T19:58:35.788Z'}, {'price': 109000, 'date': '2023-06-11T14:32:49.512Z'}, {'price': None, 'date': '2023-05-29T16:29:15.723Z'}, {'price': 110460, 'date': '2023-05-08T17:57:28.824Z'}, {'price': 115000, 'date': '2023-05-06T20:38:42.923Z'}, {'price': 117000, 'date': '2023-05-01T05:47:58.093Z'}, {'price': 119000, 'date': '2023-04-30T19:51:29.086Z'}, {'price': 116000, 'date': '2023-04-28T10:59:34.585Z'}, {'price': 118000, 'date': '2023-04-27T12:57:32.283Z'}, {'price': 120000, 'date': '2023-04-26T20:16:40.412Z'}, {'price': 123000, 'date': '2023-04-23T04:14:08.984Z'}, {'price': None, 'date': '2023-04-22T22:16:45.769Z'}]",2023-04-22T22:16:45.769Z
6uwpyx53,נתניה,toyota,C-HR,2017,יד ראשונה,1798,"158,000","89,500 ₪",עודכן ב 25/09/2023,2023-09-19 14:45:26,"[{'price': 89500, 'date': '2023-09-19T11:47:28.159Z'}]",2023-09-19T11:47:28.159Z
xcqh3lg9,אשדוד,toyota,C-HR,2022,יד ראשונה,1798,"8,000","137,800 ₪",עודכן ב 25/09/2023,2023-09-22 16:05:03,"[{'price': 137800, 'date': '2023-09-24T14:51:50.025Z'}, {'price': 138000, 'date': '2023-09-22T15:05:25.421Z'}]",2023-09-22T15:05:25.421Z
4vpdi560,ראשון לציון,toyota,C-HR,2017,יד שניה,1798,"90,000","94,000 ₪",עודכן ב 25/09/2023,2023-04-21 10:53:30,"[{'price': 94000, 'date': '2023-09-25T17:27:11.904Z'}, {'price': 97000, 'date': '2023-09-09T19:30:49.446Z'}, {'price': 98000, 'date': '2023-08-27T23:20:37.019Z'}, {'price': 101000, 'date': '2023-08-17T12:36:21.921Z'}, {'price': 96000, 'date': '2023-08-13T03:02:51.063Z'}, {'price': 92000, 'date': '2023-07-30T09:59:36.543Z'}, {'price': 96999, 'date': '2023-07-27T09:07:13.956Z'}, {'price': 95999, 'date': '2023-07-24T15:10:11.715Z'}, {'price': 94999, 'date': '2023-07-20T14:06:49.013Z'}, {'price': 97999, 'date': '2023-07-17T03:08:08.647Z'}, {'price': 99999, 'date': '2023-07-09T10:01:33.454Z'}, {'price': 103000, 'date': '2023-06-28T18:52:50.195Z'}, {'price': 105000, 'date': '2023-06-07T08:51:19.026Z'}, {'price': 107000, 'date': '2023-04-21T08:39:28.666Z'}]",2023-04-21T08:39:28.666Z
st1xn24c,טבריה,toyota,C-HR,2019,יד שניה,1798,"43,000","104,000 ₪",עודכן ב 25/09/2023,2023-01-26 21:30:15,"[{'price': 104000, 'date': '2023-08-22T18:50:01.995Z'}, {'price': 105000, 'date': '2023-08-19T12:17:08.481Z'}, {'price': None, 'date': '2023-02-06T18:21:37.035Z'}, {'price': 114000, 'date': '2023-01-26T19:32:29.958Z'}]",2023-01-26T19:32:29.958Z
