manufacturer,model,year,km,transmission,color,price,license_plate,gov_manufacturer,gov_tokef_dt,gov_last_test_dt,gov_baalut,zmig_kidmi,zmig_ahori
קיה,סלטוס URBAN 2.0,2022,92291,אוטומטי,אפור כהה,90900,17624303,קיה קוריאה,2026-09-05,2025-07-30,ליסינג,215/55R17,215/55R17
יונדאי,איוניק PREMIUM FL 1.6 היברידי,2022,108945,אוטומטי,לבן,89900,63389802,יונדאי קוריאה,2026-01-14,2025-01-05,ליסינג,225/45R17,225/45R17
יונדאי,באיון PRIME PLUS 1.0,2023,64268,אוטומטי,לבן,89900,19552603,יונדאי טורקיה,2025-12-31,2024-12-30,ליסינג,205/55R17,205/55R17
יונדאי,וניו INTENSE 1.6,2023,82373,אוטומטי,אפור מטלי,89900,25204203,יונדאי קוריאה,2026-01-08,2024-12-17,ליסינג,185/65R15,185/65R15
קיה,סלטוס URBAN 2.0,2023,105262,אוטומטי,שחור,89900,35833603,קיה קוריאה,2026-03-05,2025-03-05,ליסינג,215/55R17,215/55R17
סיאט,ארונה STYLE 1.0,2023,113140,אוטומטי,לבן,88900,23806403,סיאט ספרד,2026-01-01,2024-12-22,ליסינג,205/60 R16,205/60 R16
סקודה,אוקטביה AMBITION 1.0,2022,96934,אוטומטי,אפור כהה,88900,20813203,סקודה צ'כיה,2026-09-04,2025-08-13,ליסינג,205/55 R17,205/55 R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,122267,אוטומטי,לבן,88900,26836603,קיה קוריאה,2026-10-29,2025-09-07,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,123569,אוטומטי,לבן,88900,26836503,קיה קוריאה,2026-10-23,2025-09-30,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,125445,אוטומטי,כסף,88900,26835203,קיה קוריאה,2025-11-06,2024-10-21,ליסינג,215/55R17,215/55R17
יונדאי,איוניק PREMIUM FL 1.6 היברידי,2022,149424,אוטומטי,שחור מטלי,87900,63395302,יונדאי קוריאה,2026-01-14,2025-01-07,ליסינג,225/45R17,225/45R17
יונדאי,באיון PRIME PLUS 1.0,2023,82440,אוטומטי,כסף מטלי,87900,25603803,יונדאי טורקיה,2026-02-01,2025-01-28,ליסינג,205/55R17,205/55R17
סיאט,ארונה STYLE 1.0,2022,87983,אוטומטי,לבן,87900,20822903,סיאט ספרד,2026-09-04,2025-08-07,ליסינג,205/60 R16,205/60 R16
פורד,פוקוס TITANIUM 1.0,2023,91573,אוטומטי,לבן,87900,43102803,פורד גרמניה,2026-05-07,2025-04-24,ליסינג,205/60R16,205/60R16
קיה,סלטוס URBAN 2.0,2022,91678,אוטומטי,אפור,87900,85616102,קיה קוריאה,2026-03-29,2025-03-12,ליסינג,215/55R17,215/55R17
קיה,סלטוס URBAN 2.0,2022,113927,אוטומטי,לבן,86900,17442203,קיה קוריאה,2026-08-21,2025-07-21,ליסינג,215/55R17,215/55R17
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2022,144703,אוטומטי,שחור מטלי,85900,15787103,יונדאי קוריאה,2026-10-23,2025-09-30,ליסינג,205/55R16,205/55R16
GEELY,GEOMETRY C 350 חשמלי,2022,86319,אוטומטי,כחול,84900,34398803,גילי סין,2026-12-14,2025-11-04,פרטי,225/45R18,225/45R18
יונדאי,באיון PRIME PLUS 1.0,2023,70423,אוטומטי,כסף מטלי,84900,25604303,יונדאי טורקיה,2026-02-01,2025-01-27,ליסינג,205/55R17,205/55R17
יונדאי,באיון PRIME PLUS 1.0,2023,91590,אוטומטי,כסף מטלי,84900,25603903,יונדאי טורקיה,2026-02-01,2025-02-02,ליסינג,205/55R17,205/55R17
יונדאי,וניו INTENSE 1.6,2023,104779,אוטומטי,כסף,84900,25202803,יונדאי קוריאה,2026-01-14,2024-12-09,ליסינג,185/65R15,185/65R15
מיצובישי,אקליפס קרוס EXECUTIVE 1.5,2022,141699,אוטומטי,אפור,84900,12051103,מיצובישי יפן,2026-07-11,2025-06-25,ליסינג,P225/55R18,P225/55R18
סיאט,ארונה STYLE 1.0,2022,109357,אוטומטי,לבן,84900,20823203,סיאט ספרד,2026-08-28,2025-08-14,ליסינג,205/60 R16,205/60 R16
קיה,סלטוס URBAN 2.0,2022,104188,אוטומטי,אפור כהה,84900,17319303,קיה קוריאה,2025-08-09,2024-07-14,ליסינג,215/55R17,215/55R17
GEELY,GEOMETRY C 460 חשמלי,2022,106805,אוטומטי,לבן,83900,15660803,גילי סין,2026-05-23,2025-05-14,ליסינג,225/45R18,225/45R18
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,146151,אוטומטי,לבן,83900,27059503,קיה קוריאה,2026-11-14,2025-11-06,ליסינג,215/55R17,215/55R17
טויוטה,קורולה SENSE 1.5,2022,69921,אוטומטי,לבן,81900,21645103,טויוטה טורקיה,2026-09-06,2025-08-12,ליסינג,205/55R16,205/55R16
סיאט,ארונה STYLE 1.0,2022,110998,אוטומטי,אפור כהה,81900,83791902,סיאט ספרד,2026-06-13,2025-05-28,ליסינג,205/60 R16,205/60 R16
קיה,סלטוס URBAN 2.0,2023,158896,אוטומטי,לבן,81900,35835903,קיה קוריאה,2026-03-05,2025-02-19,ליסינג,215/55R17,215/55R17
יונדאי,באיון PRIME PLUS 1.0,2023,105633,אוטומטי,לבן,80900,19552003,יונדאי טורקיה,2025-12-31,2024-11-21,ליסינג,205/55R17,205/55R17
יונדאי,באיון PRIME PLUS 1.0,2023,111011,אוטומטי,לבן עם גג שחור,80900,19552703,יונדאי טורקיה,2025-12-31,2024-12-02,ליסינג,205/55R17,205/55R17
טויוטה,קורולה ACTIVE 1.5 סדאן,2023,127077,אוטומטי,לבן,79900,38434603,טויוטה טורקיה,2026-01-31,2025-01-27,ליסינג,195/65R15,195/65R15
סקודה,סקאלה AMBITION 1.0,2023,113124,אוטומטי,כסף מטלי,78900,26343203,סקודה צ'כיה,2026-01-16,2025-01-12,ליסינג,205/55 R16,205/55 R16
מיצובישי,ASX INSTYLE 2.0,2023,138269,אוטומטי,לבן,77900,19366103,מיצובישי יפן,2025-12-31,2024-11-21,ליסינג,P225/55R18,P225/55R18
קיה,סלטוס URBAN 2.0,2022,157948,אוטומטי,לבן,76900,26874603,קיה קוריאה,2026-10-23,2025-09-30,ליסינג,215/55R17,215/55R17
קיה,ספורטאז' URBAN 1.6,2022,110609,אוטומטי,שחור,75900,74264502,קיה סלובקיה,2026-01-12,2024-12-09,ליסינג,215/70R16,215/70R16
יונדאי,באיון PRIME PLUS 1.0,2022,101019,אוטומטי,לבן,73900,16077003,יונדאי טורקיה,2026-09-27,2025-08-14,ליסינג,205/55R17,205/55R17
סוזוקי,ויטארה GLX 1.3 HYBRID,2022,136631,אוטומטי,כסף מטלי,73900,10778303,סוזוקי הונגריה,2026-07-05,2025-07-10,ליסינג,215/55R17,215/55R17
קיה,סטוניק LX 1.0,2022,103283,אוטומטי,אפור כהה,73900,17580603,קיה קוריאה,2026-09-03,2025-08-14,ליסינג,185/65R15,185/65R15
איווייס סין,XCITE U5 פנאי-שטח חשמל אוטומטי 0,2022,94664,אוטומטי,חציל,71900,24313203,איווייס סין,2026-09-04,2025-08-13,ליסינג,215/65R17,215/65R17
יונדאי,אקסנט INSPIRE 1.6,2023,115599,אוטומטי,לבן,69900,19549903,יונדאי הודו,2025-12-31,2024-12-01,ליסינג,185/65R15,185/65R15
אופל,קומבו EDITION PLUS 1.2,2022,65219,אוטומטי,לבן,67900,84520202,אופל-ספרד,2026-05-14,2025-04-06,ליסינג,205/60R16,205/60R16
קיה,ספורטאז' URBAN 1.6,2022,158013,אוטומטי,כסף,66900,81303702,קיה סלובקיה,2026-01-12,2025-01-08,ליסינג,215/70R16,215/70R16
טויוטה,קורולה SENSE 1.5,2022,207727,אוטומטי,לבן,64900,21744503,טויוטה טורקיה,2026-09-18,2025-08-12,ליסינג,205/55R16,205/55R16
דאצ'יה,MPV COMFORT PLUS SPRING חשמל אוטומטי 0,2022,44079,אוטומטי,לבן,49900,67481302,דאציה סין,2026-10-29,2025-10-22,סוחר,165/70R14,165/70R14
