manufacturer,model,year,km,transmission,color,price,license_plate,gov_manufacturer,gov_tokef_dt,gov_last_test_dt,gov_baalut,zmig_kidmi,zmig_ahori
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2023,80636,אוטומטי,כסף כהה,109900,34071903,יונדאי קוריאה,2026-05-07,2025-05-05,ליסינג,205/55R16,205/55R16
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2022,57127,אוטומטי,לבן,109900,12112203,יונדאי קוריאה,2026-09-21,2025-09-11,ליסינג,205/55R16,205/55R16
יונדאי,טוסון PRESTIGE 1.6,2022,65182,אוטומטי,אפור,109900,16278203,יונדאי צ'כיה,2026-08-30,2025-08-21,ליסינג,215/65R17,215/65R17
טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,57465,אוטומטי,כסף מטלי,108900,22139003,טויוטה טורקיה,2025-11-16,2024-11-12,ליסינג,205/55R16,205/55R16
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2023,83229,אוטומטי,שחור מטלי,108900,19979303,יונדאי קוריאה,2026-01-25,2024-12-18,ליסינג,205/55R16,205/55R16
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2022,40732,אוטומטי,לבן,108900,15787203,יונדאי קוריאה,2026-10-23,2025-09-14,ליסינג,205/55R16,205/55R16
מזדה,CX-5 COMFORT 2.0,2023,131146,אוטומטי,לבן,108900,34573203,מזדה יפן,2026-01-02,2024-12-09,ליסינג,225/55R19,225/55R19
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2023,76439,אוטומטי,כסף,108900,44122603,קיה קוריאה,2026-06-10,2025-05-26,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,60547,אוטומטי,שחור,107900,27057003,קיה קוריאה,2026-11-14,2025-11-02,ליסינג,215/55R17,215/55R17
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2023,95622,אוטומטי,לבן,106900,54201003,יונדאי קוריאה,2026-08-26,2025-08-06,ליסינג,205/55R16,205/55R16
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2023,81460,אוטומטי,כסף,106900,35371503,קיה קוריאה,2026-01-10,2024-12-12,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2023,82565,אוטומטי,לבן,106900,35374903,קיה קוריאה,2026-02-04,2025-02-02,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,46906,אוטומטי,לבן,106900,26655903,קיה קוריאה,2026-09-18,2025-09-18,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,57802,אוטומטי,לבן,106900,26690803,קיה קוריאה,2026-10-05,2025-09-30,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,64276,אוטומטי,כסף,106900,26655103,קיה קוריאה,2026-09-18,2025-08-25,ליסינג,215/55R17,215/55R17
קיה,ספורטאז' URBAN 2.0,2023,68489,אוטומטי,שחור,106900,35439003,קיה סלובקיה,2026-01-21,2024-12-23,ליסינג,215/65R17,215/65R17
